208.89.208.57 	8080 	elite 	18.01.12 14:25 	4/5 	79,83 KB/s 	Unknown 	check
208.89.208.57 	8080 	elite 	19.01.12 11:03 	4/5 	89,85 KB/s 	Unknown 	check
208.89.208.62 	8080 	elite 	19.01.12 10:05 	5/5 	94,69 KB/s 	Unknown 	check
208.92.249.106 	443 	elite 	19.01.12 03:04 	5/5 	2.592,33 KB/s 	Unknown 	check
208.92.249.111 	443 	elite 	19.01.12 02:59 	5/5 	2.592,33 KB/s 	Unknown 	check
209.62.12.130 	8118 	elite 	18.01.12 19:00 	1/5 	297,51 KB/s 	United States 	check
209.62.12.130 	8118 	elite 	19.01.12 06:12 	3/5 	329,08 KB/s 	United States 	check
209.97.203.60 	8080 	elite 	19.01.12 04:24 	5/5 	62,22 KB/s 	United States 	check
209.97.203.64 	8080 	elite 	19.01.12 04:26 	5/5 	67,54 KB/s 	United States 	check
210.21.243.20 	808 	elite 	19.01.12 02:56 	2/5 	1.451,57 KB/s 	China 	check
210.22.153.98 	3128 	elite 	19.01.12 03:42 	3/5 	19,40 KB/s 	China 	check
210.51.23.136 	8118 	elite 	19.01.12 06:57 	5/5 	28,65 KB/s 	China 	check
211.140.189.244 	80 	elite 	19.01.12 06:25 	2/5 	22,43 KB/s 	China 	check
211.157.227.84 	81 	elite 	18.01.12 18:35 	1/5 	21,24 KB/s 	China 	check
211.160.169.102 	80 	elite 	18.01.12 17:05 	1/5 	21,09 KB/s 	China 	check
212.156.58.182 	8080 	elite 	19.01.12 03:29 	5/5 	2.587,39 KB/s 	Turkey 	check
212.23.70.186 	3128 	elite 	19.01.12 05:52 	5/5 	110,96 KB/s 	Russian Federation 	check
212.45.5.172 	3128 	elite 	19.01.12 05:05 	2/5 	152,95 KB/s 	Russian Federation 	check
212.60.66.201 	3128 	elite 	19.01.12 02:36 	4/5 	103,04 KB/s 	Gambia 	check
212.88.118.181 	8080 	elite 	19.01.12 07:54 	5/5 	2.322,38 KB/s 	Uganda 	check
213.186.122.27 	3128 	elite 	19.01.12 02:14 	1/5 	146,90 KB/s 	Ukraine 	check
213.186.46.43 	3128 	elite 	19.01.12 05:38 	5/5 	552,01 KB/s 	France 	check
213.186.46.43 	5050 	elite 	19.01.12 05:16 	4/5 	478,64 KB/s 	France 	check
213.203.196.230 	8008 	elite 	18.01.12 17:06 	5/5 	2.886,66 KB/s 	Germany 	check
213.27.233.181 	80 	elite 	19.01.12 09:04 	4/5 	161,12 KB/s 	Spain 	check
217.117.112.173 	3128 	elite 	19.01.12 11:02 	2/5 	174,90 KB/s 	Russian Federation 	check
217.162.41.229 	8118 	elite 	19.01.12 06:27 	1/5 	59,54 KB/s 	Switzerland 	check
217.169.242.139 	8123 	elite 	18.01.12 13:47 	5/5 	2.176,42 KB/s 	France 	check
218.242.245.66 	8000 	elite 	18.01.12 18:36 	1/5 	17,91 KB/s 	China 	check
218.91.154.201 	808 	elite 	19.01.12 11:03 	1/5 	21,71 KB/s 	China 	check
219.95.233.114 	8080 	elite 	19.01.12 05:39 	5/5 	29,89 KB/s 	Malaysia 	check
220.113.15.21 	8080 	elite 	19.01.12 05:27 	1/5 	15,85 KB/s 	China 	check
220.234.18.150 	8909 	elite 	19.01.12 06:06 	1/5 	17,10 KB/s 	China 	check
221.130.162.48 	80 	elite 	19.01.12 01:10 	5/5 	34,81 KB/s 	China 	check
221.130.162.73 	80 	elite 	19.01.12 06:19 	5/5 	34,44 KB/s 	China 	check
221.134.198.15 	80 	elite 	19.01.12 06:58 	5/5 	45,95 KB/s 	Unknown 	check
221.181.192.25 	80 	elite 	18.01.12 17:12 	2/5 	20,34 KB/s 	China 	check
221.181.192.25 	80 	elite 	19.01.12 05:00 	5/5 	22,61 KB/s 	China 	check
222.171.60.156 	808 	elite 	19.01.12 01:45 	4/5 	21,47 KB/s 	China 	check
222.238.156.245 	80 	elite 	18.01.12 23:15 	2/5 	30,51 KB/s 	Korea, Republic Of 	check
222.88.95.66 	8080 	elite 	18.01.12 19:45 	5/5 	1.516,39 KB/s 	China 	check
222.88.95.77 	80 	elite 	18.01.12 15:33 	2/5 	25,21 KB/s 	China 	check
222.88.95.77 	80 	elite 	19.01.12 00:55 	5/5 	2.261,06 KB/s 	China 	check
222.88.95.77 	8080 	elite 	19.01.12 11:21 	3/5 	1.927,83 KB/s 	China 	check
